1000,0.8953,0.0001,0.82034
2000,0.9055,0.0001,0.374843
3000,0.9089,0.0001,0.374304
4000,0.9083,0.0001,0.0683958
5000,0.907,0.0001,0.187396
6000,0.90865,0.0001,0.136013
7000,0.9075,0.0001,0.0944386
8000,0.91285,0.0001,0.376669
9000,0.911401,0.0001,0.286772
10000,0.9109,0.0001,0.212946
11000,0.913901,0.0001,0.400345
12000,0.91415,0.0001,0.264586
13000,0.910901,0.0001,0.3202
14000,0.915201,0.0001,0.221865
15000,0.9149,0.0001,0.417152
16000,0.9091,0.0001,0.240426
17000,0.91535,0.0001,0.612637
18000,0.916,0.0001,0.295122
19000,0.91615,0.0001,0.714063
20000,0.9165,0.0001,0.176926
21000,0.91595,0.0001,0.539146
22000,0.914751,0.0001,0.365952
23000,0.9151,0.0001,0.308063
24000,0.9144,0.0001,0.291558
25000,0.9108,0.0001,0.0109764
26000,0.914251,0.0001,0.44547
27000,0.9165,0.0001,0.157385
28000,0.914301,0.0001,0.20026
29000,0.91375,0.0001,0.279531
30000,0.918,0.0001,0.363458
31000,0.9133,0.0001,0.24339
32000,0.9144,0.0001,0.771122
33000,0.91615,0.0001,0.333691
34000,0.9154,0.0001,0.264907
35000,0.9157,0.0001,0.176111
36000,0.91455,0.0001,0.236116
37000,0.91895,0.0001,0.0690048
38000,0.9183,0.0001,0.146381
39000,0.91865,0.0001,0.277217
40000,0.919701,0.0001,0.229794
41000,0.917551,0.0001,0.148591
42000,0.9161,0.0001,0.00348688
43000,0.919651,0.0001,0.108232
44000,0.918101,0.0001,0.220495
45000,0.914901,0.0001,0.166974
46000,0.9158,0.0001,0.333768
47000,0.914551,0.0001,0.410621
48000,0.91375,0.0001,0.0792161
49000,0.9112,0.0001,0.0830277
50000,0.91355,0.0001,0.194073
51000,0.9174,0.0001,0.156744
52000,0.91815,0.0001,0.284865
53000,0.91335,0.0001,0.363638
54000,0.9164,0.0001,0.176294
55000,0.9153,0.0001,0.226063
56000,0.91965,0.0001,0.587617
57000,0.921401,0.0001,0.140829
58000,0.917901,0.0001,0.120709
59000,0.919801,0.0001,0.228785
60000,0.918151,0.0001,0.242067
61000,0.910901,0.0001,0.24172
62000,0.9158,0.0001,0.248989
63000,0.918051,0.0001,0.158218
64000,0.919951,0.0001,0.296944
65000,0.917401,0.0001,0.302619
66000,0.925551,0.0001,0.308455
67000,0.923401,0.0001,0.106285
68000,0.9245,0.0001,0.310954
69000,0.92375,0.0001,0.142684
70000,0.923351,0.0001,0.189249
71000,0.9212,0.0001,0.221781
72000,0.9186,0.0001,0.0396565
73000,0.917451,0.0001,0.277153
74000,0.923301,0.0001,0.154734
75000,0.921751,0.0001,0.220968
76000,0.930251,0.0001,0.0826116
77000,0.9229,0.0001,0.164321
